//Y axis rotation	X' axis rotation (degrees)	Defocus 1	2	3... (Angstroms)
0	0	5	10	15
10	0	5	10	15
20	0	5	10	15
30	0	5	10	15
40	0	5	10	15
50	0	5	10	15
60	0	5	10	15
70	0	5	10	15
80	0	5	10	15
90	0	5	10	15
100	0	5	10	15
110	0	5	10	15
120	0	5	10	15
130	0	5	10	15
140	0	5	10	15
150	0	5	10	15
160	0	5	10	15
170	0	5	10	15
180	0	5	10	15
190	0	5	10	15
200	0	5	10	15
210	0	5	10	15
220	0	5	10	15
230	0	5	10	15
240	0	5	10	15
250	0	5	10	15
260	0	5	10	15
270	0	5	10	15
280	0	5	10	15
290	0	5	10	15
300	0	5	10	15
310	0	5	10	15
320	0	5	10	15
330	0	5	10	15
340	0	5	10	15
350	0	5	10	15
